B11799	SRR7140004	Barranquilla
B11777	SRR7140008	Barranquilla
B11852	SRR7140009	Bogota
B11787	SRR7140012	Barranquilla
B11797	SRR7140015	Barranquilla
B11806	SRR7140016	Barranquilla
B11785	SRR7140021	Barranquilla
B11790	SRR7140029	Barranquilla
B11780	SRR7140031	Barranquilla
B11781	SRR7140033	Barranquilla
B11800	SRR7140002	Barranquilla
B11778	SRR7140036	Barranquilla
B11850	SRR7140039	Bogota
B11851	SRR7140040	Bogota
B11788	SRR7140041	Barranquilla
B11849	SRR7140045	Bogota
B11856	SRR7140054	Bogota
B11794	SRR7140055	Barranquilla
B11783	SRR7140056	Barranquilla
B11779	SRR7140057	Barranquilla
B11795	SRR7140062	Barranquilla
B11846	SRR7140064	Cartagena
B11848	SRR7140065	Cartagena
B11847	SRR7140066	Cartagena
B11782	SRR7140067	Barranquilla
B11791	SRR7140070	Barranquilla
B11793	SRR7140071	Barranquilla
B11805	SRR7140075	Barranquilla
B11802	SRR7140077	Barranquilla
B11844	SRR7140078	Cartagena
B11807	SRR7140080	Barranquilla
B11789	SRR7140082	Barranquilla
